,Dataset,Target var,Target,Domain,Accuracy type,Type,Number of features
best_top3_HCP-YA_neoffi_o_cod,HCP-YA,neoffi_o,Openness (NEO),Personality,cod,best_top3,29
nec_HCP-YA_neoffi_o_cod,HCP-YA,neoffi_o,Openness (NEO),Personality,cod,necessary,1
best_top1_HCP-YA_neoffi_a_cod,HCP-YA,neoffi_a,Agreeableness (NEO),Personality,cod,best_top1,29
best_top2_HCP-YA_neoffi_a_cod,HCP-YA,neoffi_a,Agreeableness (NEO),Personality,cod,best_top2,32
best_top3_HCP-YA_neoffi_a_cod,HCP-YA,neoffi_a,Agreeableness (NEO),Personality,cod,best_top3,31
nec_HCP-YA_neoffi_a_cod,HCP-YA,neoffi_a,Agreeableness (NEO),Personality,cod,necessary,16
best_top1_HCP-YA_neoffi_c_cod,HCP-YA,neoffi_c,Conscientiousness (NEO),Personality,cod,best_top1,1
best_top2_HCP-YA_neoffi_c_cod,HCP-YA,neoffi_c,Conscientiousness (NEO),Personality,cod,best_top2,27
best_top3_HCP-YA_neoffi_c_cod,HCP-YA,neoffi_c,Conscientiousness (NEO),Personality,cod,best_top3,32
nec_HCP-YA_neoffi_c_cod,HCP-YA,neoffi_c,Conscientiousness (NEO),Personality,cod,necessary,1
